primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Shepherd,None,True,None, ,Young,Male,Large,None,True,False,False,True,True,True,True,[],Shinx,adopted,21/07/2020 17:26,21/07/2020 17:26
Shih Tzu,None,False,White / Cream, ,Senior,Male,Small,Long,False,False,False,True,None,None,None,[],Travis,adoptable,21/07/2020 18:23,21/07/2020 18:23
Mixed Breed,None,True,Apricot / Beige, ,Young,Male,Medium,Short,True,False,False,True,None,None,None,[],Max,adopted,25/07/2020 02:12,21/07/2020 17:20
Boxer,None,True,None, ,Young,Male,Medium,None,True,True,False,True,True,True,None,[],Jabba,adopted,21/07/2020 12:23,21/07/2020 12:23
Retriever,Spaniel,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Brownie,adopted,30/07/2020 16:57,21/07/2020 17:21
Chihuahua,None,True,None, ,Adult,Male,Small,None,True,False,False,False,True,True,True,[],Forest &amp; Lt Dan (bonded pair),adopted,05/08/2020 22:24,21/07/2020 15:24
American Bulldog,Mixed Breed,True,None, ,Young,Male,Large,None,False,False,False,False,None,None,None,[],Petey,adoptable,21/07/2020 13:06,21/07/2020 13:06
Shepherd,Mixed Breed,True,Black, ,Adult,Female,Medium,None,True,False,False,True,None,None,None,"['Does NOT like cats', 'Friendly', 'Heartworm positive under treatment call shelter for more info', 'Likes canned dog food', 'Microchipped', 'Spayed', 'Walks Well On A Leash']",Jasmine,adoptable,21/07/2020 13:10,21/07/2020 13:10
Chihuahua,None,True,White / Cream, ,Adult,Male,Small,Short,False,False,False,False,None,None,None,[],ACO Chihuahua,adopted,25/07/2020 18:25,21/07/2020 19:37
German Shepherd Dog,None,True,None, ,Adult,Female,Large,Short,True,True,False,True,False,True,True,['lap dog'],Dutchess,adoptable,21/07/2020 15:15,21/07/2020 15:15
American Staffordshire Terrier,Mastiff,True,Brindle, ,Baby,Female,Medium,Short,True,True,False,True,True,True,True,[],Gracie,adopted,12/08/2020 23:22,21/07/2020 19:18
Mixed Breed,None,False,Black, ,Young,Female,Medium,None,True,False,False,True,None,None,None,[],Nori,adoptable,21/07/2020 15:35,21/07/2020 15:35
Pit Bull Terrier,None,True,None, ,Adult,Female,Medium,None,True,True,False,True,True,True,None,[],Nala,adopted,21/07/2020 14:57,21/07/2020 14:57
Boxer,None,True,None, ,Adult,Male,Large,None,True,False,False,True,None,None,None,[],British A171792,adopted,31/07/2020 20:41,21/07/2020 17:42
Chihuahua,Shih Tzu,True,None, ,Baby,Female,Small,None,True,False,False,True,None,True,True,[],Piper,adopted,26/07/2020 00:15,21/07/2020 15:14
Shepherd,Australian Cattle Dog / Blue Heeler,True,Tricolor (Brown, & White),Adult,Male,Medium,Short,True,True,False,True,True,True,True,[],Piccolo,adoptable,21/07/2020 20:16,21/07/2020 20:16
Catahoula Leopard Dog,Labrador Retriever,True,Black, ,Young,Male,Medium,None,False,True,False,True,True,True,None,[],Thor,adopted,04/08/2020 16:55,21/07/2020 15:58
Labrador Retriever,Beagle,True,None, ,Baby,Female,Medium,None,False,False,False,True,True,True,None,[],Maple (Tree Litter),adopted,30/07/2020 13:01,21/07/2020 14:39
Terrier,None,True,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],Otis,adopted,21/07/2020 20:47,21/07/2020 20:47
German Shepherd Dog,None,True,None, ,Baby,Male,Large,None,True,False,False,True,True,True,True,[],German Shep Mix M#1,adopted,22/07/2020 16:46,21/07/2020 15:16
Schnauzer,None,False,Black, ,Adult,Male,Medium,Medium,False,False,False,False,None,None,None,[],HENRY,adopted,28/07/2020 19:02,21/07/2020 13:51
Greyhound,None,False,Black, ,Adult,Female,Large,Short,True,True,False,True,None,True,None,[],Opal,adopted,12/08/2020 13:21,21/07/2020 15:05
Hound,Coonhound,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,None,[],Artimis,adopted,22/07/2020 23:12,21/07/2020 13:57
Shepherd,Hound,True,None, ,Baby,Male,Large,Short,False,False,False,True,True,True,True,[],Jack,adopted,26/07/2020 15:55,21/07/2020 18:23
Terrier,None,True,None, ,Young,Female,Small,None,True,False,False,True,True,True,None,[],Alexa,adopted,21/07/2020 15:57,21/07/2020 15:57
Australian Cattle Dog / Blue Heeler,Shepherd,True,Black, ,Young,Female,Medium,Short,False,True,False,True,None,None,None,"['loving', 'sweet', 'active', 'cute', 'intelligent', 'adorable']",Roxy,adoptable,21/07/2020 14:50,21/07/2020 14:50
Poodle,None,True,White / Cream, ,Young,Male,Large,Curly,True,True,False,True,False,True,True,[],Warner **READ ENTIRE DESCRIPTION**,adopted,29/07/2020 15:04,21/07/2020 18:09
Jack Russell Terrier,None,True,None, ,Young,Female,Small,None,True,True,False,True,None,None,None,[],Ellie,adopted,21/07/2020 15:29,21/07/2020 15:29
Black Mouth Cur,Mixed Breed,True,None, ,Young,Male,Large,None,False,False,False,False,None,None,None,[],Apollo,adoptable,21/07/2020 19:06,21/07/2020 19:06
American Bulldog,Mixed Breed,True,None, ,Senior,Male,Large,None,False,False,False,False,None,None,None,[],Barack,adoptable,21/07/2020 16:38,21/07/2020 16:38
Collie,None,False,Merle (Blue), ,Young,Female,Medium,None,False,False,False,False,True,True,None,['Playful'],Juno,adopted,25/07/2020 22:30,21/07/2020 20:27
Cattle Dog,None,True,Black, ,Young,Male,Medium,Wire,True,False,False,True,True,True,None,[],Willie,adopted,22/07/2020 16:52,21/07/2020 20:54
Australian Cattle Dog / Blue Heeler,None,False,Red / Chestnut / Orange, ,Adult,Female,Medium,Short,True,True,False,True,None,True,None,[],JANE,adopted,26/07/2020 23:52,21/07/2020 20:27
Golden Retriever,Labrador Retriever,True,Golden, ,Young,Female,Medium,None,True,True,True,True,True,True,True,[],Amber PENDING,adopted,04/08/2020 19:05,21/07/2020 15:09
Dachshund,Beagle,True,None, ,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Bernie,adopted,21/07/2020 18:59,21/07/2020 18:59
Terrier,Collie,True,None, ,Baby,Female,Medium,Short,False,False,False,False,None,None,None,[],Aspen~Adopted!!,adoptable,21/07/2020 15:43,21/07/2020 15:43
Terrier,None,True,Black, ,Senior,Male,Small,None,True,False,False,True,None,True,None,[],Cubby,adoptable,21/07/2020 15:59,21/07/2020 15:59
Retriever,None,True,Black, ,Baby,Male,Medium,Medium,True,False,False,True,True,True,True,[],Midnight,adopted,04/08/2020 17:53,21/07/2020 18:25
Terrier,None,True,Apricot / Beige, ,Young,Female,Small,None,True,False,False,True,True,True,None,['Sweet and playful'],Lily,adopted,01/08/2020 06:12,21/07/2020 21:24
Labrador Retriever,None,True,None, ,Young,Male,Medium,None,True,True,False,True,True,True,True,[],Seymour - ADOPTED,adopted,31/07/2020 15:16,21/07/2020 12:02
Pit Bull Terrier,Mastiff,True,None, ,Young,Female,Medium,None,True,False,False,False,True,True,None,[],Tilly,adopted,21/07/2020 18:27,21/07/2020 18:27
Dachshund,None,False,Tricolor (Brown, & White),Adult,Male,Small,None,True,True,False,True,True,True,None,[],Buddy,adoptable,14/08/2020 20:59,21/07/2020 15:33
Chihuahua,None,True,None, ,Senior,Male,Small,None,False,False,False,True,None,None,None,[],Carmello,adopted,28/07/2020 15:22,21/07/2020 18:45
Labrador Retriever,Weimaraner,True,Black, ,Young,Female,Medium,Short,True,True,False,True,True,True,None,[],Lucy,adopted,23/07/2020 18:21,21/07/2020 15:01
Pit Bull Terrier,None,True,Apricot / Beige, ,Adult,Female,Large,Short,False,False,False,False,True,True,False,[],Sable,adopted,14/08/2020 19:29,21/07/2020 18:52
Labrador Retriever,None,True,Black, ,Baby,Female,Medium,Medium,True,False,False,True,True,True,True,[],Joanne,adopted,24/07/2020 11:33,21/07/2020 18:19
Pit Bull Terrier,None,False,None, ,Young,Male,Large,None,False,False,False,False,None,None,None,[],SHERIFF,adoptable,21/07/2020 17:51,21/07/2020 17:51
Rat Terrier,Dachshund,True,Black, ,Adult,Female,Medium,Short,False,False,False,True,None,True,None,[],Dexie,adopted,27/07/2020 15:31,23/07/2020 19:24
Shepherd,Mixed Breed,True,None, ,Adult,Female,Medium,None,True,True,False,False,None,None,False,[],Toffee,adoptable,21/07/2020 20:06,21/07/2020 20:06
Husky,None,True,None, ,Adult,Male,Large,None,True,True,False,True,True,True,None,[],Zeus the Deuce,adopted,21/07/2020 11:20,21/07/2020 11:20
Australian Shepherd,Cattle Dog,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,True,[],Aussie/Cattle Dog Mix F#1,adopted,22/07/2020 16:46,21/07/2020 15:12
Pit Bull Terrier,None,False,None, ,Adult,Male,Medium,None,False,False,False,True,None,None,None,[],Billy,adoptable,21/07/2020 18:22,21/07/2020 18:22
Labrador Retriever,None,True,None, ,Young,Female,Medium,None,False,True,False,False,True,True,True,[],Aurora,adopted,21/07/2020 15:55,21/07/2020 15:55
Chihuahua,Terrier,True,None, ,Baby,Female,Small,None,False,False,False,False,None,True,True,[],Sandy,adopted,22/07/2020 11:55,21/07/2020 15:38
Pit Bull Terrier,None,False,None, ,Adult,Female,Large,None,True,True,True,True,None,False,False,[],Veda,adoptable,21/07/2020 10:26,21/07/2020 10:26
Border Collie,None,True,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],Howie courtesy listing,adoptable,21/07/2020 10:35,21/07/2020 10:35
Labrador Retriever,German Shepherd Dog,True,None, ,Senior,Male,Medium,None,True,False,False,False,None,None,None,[],TYE,adoptable,21/07/2020 15:50,21/07/2020 15:50
Terrier,Hound,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,None,True,None,[],Mr Terkintine,adoptable,21/07/2020 19:31,21/07/2020 19:31
Labrador Retriever,None,False,Brown / Chocolate, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Anna in NH,adopted,24/07/2020 05:07,21/07/2020 15:12
Terrier,None,False,None, ,Adult,Female,Medium,None,False,False,False,False,None,None,None,[],Hattie,adopted,30/07/2020 16:57,21/07/2020 17:21
Shepherd,Labrador Retriever,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Perch,adopted,21/07/2020 21:46,21/07/2020 13:17
Boxer,None,True,Yellow / Tan / Blond / Fawn, ,Young,Female,Medium,Short,True,False,False,True,None,None,None,[],Dina,adopted,30/07/2020 18:06,21/07/2020 18:16
American Staffordshire Terrier,Mixed Breed,True,None, ,Young,Male,Large,None,True,False,False,False,None,None,None,[],VIRGIL,adoptable,21/07/2020 18:51,21/07/2020 18:51
Terrier,Pug,True,Brindle, ,Baby,Male,Medium,Medium,True,True,False,True,None,True,None,[],Omar,adopted,16/08/2020 18:20,21/07/2020 20:41
Shepherd,None,True,None, ,Baby,Female,Large,None,False,False,False,True,True,True,None,[],Dora,adopted,21/07/2020 11:05,21/07/2020 11:05
Rat Terrier,None,True,Tricolor (Brown, & White),Adult,Female,Small,Short,True,True,False,True,True,True,True,[],Nova,adopted,27/07/2020 01:06,21/07/2020 15:34
